Smart Tv Images	Smart Tv Names	Smart Tv Prices	Smart Tv Details
https://rukminim1.flixcart.com/image/312/312/kkoc70w0/television/o/x/j/l55m6-eqg-mi-original-imafzyrjdtba6bqf.jpeg?q=70	Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV	₹59,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year on Product and 1 Additional Year for Panel From Mi
https://rukminim1.flixcart.com/image/312/312/kx9as280/television/d/e/b/-original-imag9rfguf6nevgd.jpeg?q=70	SONY Bravia 80 cm (32 inch) HD Ready LED Smart Android TV	₹22,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/l12h1u80/television/f/h/b/-original-imagcppfgyfdhqxc.jpeg?q=70	Blaupunkt Cybersound 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 50W Speaker...	₹27,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels50 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty on Product & 6 Months on Accessories
https://rukminim1.flixcart.com/image/312/312/l3bx5e80/television/0/w/q/-original-imageh37h34rehqf.jpeg?q=70	SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV	₹47,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/l12h1u80/television/z/c/1/-original-imagcppgc2ycvxdb.jpeg?q=70	Blaupunkt Cybersound 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...	₹37,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels60 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty on Product & 6 Months on Accessories
https://rukminim1.flixcart.com/image/312/312/xif0q/television/a/d/d/-original-imaghbbqwnhg6gpe.jpeg?q=70	Dyanora 80 cm (32 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...	₹8,739	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Android BasedHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBA+Grade1 Year Manufacturer Warranty from the Date of Purchase
https://rukminim1.flixcart.com/image/312/312/kf5pzm80/television/f/h/e/mi-l32m6-ei-original-imafvzefsh27shv6.jpeg?q=70	Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV	₹15,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year on Product and 2 Years for Panel
https://rukminim1.flixcart.com/image/312/312/kzllrbk0/television/x/u/s/-original-imagbkff7gqmdukq.jpeg?q=70	SONY Bravia 108 cm (43 inch) Full HD LED Smart Linux TV	₹36,999	Netflix|YoutubeOperating System: LinuxFull HD 1920 x 1080 Pixels20 W Speaker Output50 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/television/p/o/e/-original-imaghu25brfryenc.jpeg?q=70	TCL C725 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV (Black) (2021 Model) | With Video Call C...	₹46,990	Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade2 Year Product Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/television/7/p/t/-original-imaghy5qe6mp2wae.jpeg?q=70	KODAK CA Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...	₹34,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840X2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty on Product & 6 Months on Accessories
https://rukminim1.flixcart.com/image/312/312/l2rwzgw0/television/j/p/0/kd-55x80aj-sony-original-imagefgmyfkbavde.jpeg?q=70	SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV	₹69,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate4 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/kz4gh3k0/television/p/n/s/-original-imagb782cy86x6q8.jpeg?q=70	Coocaa 108 cm (43 inch) Full HD LED Smart Android TV with HDR 10 Dolby Audio and Eye Care Technology	₹16,999	Netflix|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBIPS Panel1 Year Domestic Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/television/m/2/9/-original-imaggzfcygzcpxrg.jpeg?q=70	acer i series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Android 11 (2022 Model)	₹35,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+2 Years Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/television/6/h/e/-original-imaghu25hkdksugm.jpeg?q=70	TCL P725 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV	₹28,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 × 2160 Pixels24 rms Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade UHD 10-bit DLED Panel2 Year Product Warranty
https://rukminim1.flixcart.com/image/312/312/l2p23rk0/television/9/i/s/-original-imagdzfjvbfrbprp.jpeg?q=70	Nokia 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision	₹31,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate4 x HDMI | 2 x USBVA Type Panel1 Year Warranty on Product
https://rukminim1.flixcart.com/image/312/312/xif0q/television/v/7/x/-original-imaghu25fh9weawa.jpeg?q=70	TCL P615 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio	₹34,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3860 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USBA+ Grade Panel2 Year Product Warranty
https://rukminim1.flixcart.com/image/312/312/ks3jjbk0/television/s/u/e/50put7605-94-philips-original-imag5qrgz3u3hxgh.jpeg?q=70	PHILIPS 7600 Series 126 cm (50 inch) Ultra HD (4K) LED Smart Linux based TV	₹31,999	Netflix|Prime Video|YoutubeOperating System: Linux basedUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBLED2 Years Warranty Provided By the Manufacturer Upon Date of Purchase
https://rukminim1.flixcart.com/image/312/312/xif0q/television/b/c/7/-original-imaggz6zd5rchpuq.jpeg?q=70	TOSHIBA C350LP Series 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and R...	₹34,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade Ultra Vivid Panel2 Years Comprehensive Warranty
https://rukminim1.flixcart.com/image/312/312/l3bx5e80/television/j/i/9/-original-imageh2q8qbajhcn.jpeg?q=70	SONY Bravia 80 cm (32 inch) HD Ready LED Smart Google TV with Google TV	₹25,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/kfzq8i80/television/g/z/a/motorola-55sauhdmg-original-imafwc56btcf9awy.jpeg?q=70	MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision	₹35,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 � 2160 Pixels50 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBADS1 Year Warranty on Product
https://rukminim1.flixcart.com/image/312/312/ku2zjww0/television/w/c/z/43path4545bl-43path4545bl-thomson-original-imag7a88xjj5y2dv.jpeg?q=70	Thomson 9R PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV	₹23,999	Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels40 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty on Product and 6 Months on Accessories
https://rukminim1.flixcart.com/image/312/312/kingqkw0/television/w/b/y/motorola-43sauhdmq-original-imafydykpnw3hzgv.jpeg?q=70	MOTOROLA ZX Pro 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad	₹33,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels50 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBVA Type1 Year Warranty on Product
https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/television/x/f/k/p32s001-p32s001-candes-original-imagdshfudqwzzfg.jpeg?q=70	Candes 81 cm (32 inch) HD Ready LED Smart Android TV	₹8,490	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 Speaker Output50 Hz Refresh Rate1 x HDMI | 2 x USB1 Year Candes Domestic Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/television/u/h/n/-original-imaggwfzpgv9pbht.jpeg?q=70	SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV	₹99,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels40 W Speaker Output100 Hz Refresh Rate4 x HDMI | 2 x USB1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
https://rukminim1.flixcart.com/image/312/312/l47cu4w0/television/v/9/l/-original-imagf5qugwkqdvfg.jpeg?q=70	SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...	₹52,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels20 W Speaker Output50 Hz Refresh Rate3 x HDMI | 1 x USB1 Year warranty provided by manufacturer from date of purchase and 1 Year Additional on Panel
https://rukminim1.flixcart.com/image/312/312/xif0q/television/b/c/7/-original-imaggz6zd5rchpuq.jpeg?q=70	TOSHIBA C350LP Series 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and R...	₹34,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade Ultra Vivid Panel2 Years Comprehensive Warranty
https://rukminim1.flixcart.com/image/312/312/kx6fwcw0/television/w/5/8/-original-imag9zvwz5ffv9ec.jpeg?q=70	Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV	₹36,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade1 Year
https://rukminim1.flixcart.com/image/312/312/kex5ci80/television/2/f/s/toshiba-50u5050-original-imafvhn4ybagp54e.jpeg?q=70	TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart VIDAA TV with Dolby Vision & ATMOS	₹27,999	Netflix|Prime Video|YoutubeOperating System: VIDAAUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBYupp TV1 Year Warranty
https://rukminim1.flixcart.com/image/312/312/l2rwzgw0/television/j/p/0/kd-55x80aj-sony-original-imagefgmyfkbavde.jpeg?q=70	SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV	₹69,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate4 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/kkoc70w0/television/o/x/j/l55m6-eqg-mi-original-imafzyrjdtba6bqf.jpeg?q=70	Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV	₹59,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year on Product and 1 Additional Year for Panel From Mi
https://rukminim1.flixcart.com/image/312/312/krme93k0/television/8/j/w/kd-55x80j-kd-55x80j-sony-original-imag5dfgzut79ate.jpeg?q=70	SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV	₹77,390	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate4 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/television/a/6/n/-original-imaghzmu5kh7gazg.jpeg?q=70	Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS	₹34,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB2 Years Comprehensive Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/television/h/0/x/-original-imaghgphu8kjtgvs.jpeg?q=70	realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...	₹29,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty On TV and 2 Years Warranty On The Display Panel
https://rukminim1.flixcart.com/image/312/312/l3bx5e80/television/0/w/q/-original-imageh37h34rehqf.jpeg?q=70	SONY Bravia 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV	₹60,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/kfzq8i80/television/g/z/a/motorola-55sauhdmg-original-imafwc56btcf9awy.jpeg?q=70	MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision	₹35,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 � 2160 Pixels50 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBADS1 Year Warranty on Product
https://rukminim1.flixcart.com/image/312/312/l1fc0i80/television/g/0/o/smthy32hdb52yw-hyundai-original-imagczwztabnzz7z.jpeg?q=70	Hyundai 80 cm (32 inch) HD Ready LED Smart Android Based TV	₹11,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Android BasedHD Ready 1366 x 768 Pixels16 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBA+ Grade Panel1 Year Warranty on Product and 6 Months on Remote
https://rukminim1.flixcart.com/image/312/312/k5vcya80/television/z/k/e/vu-50ca-original-imafzgkftuszcbza.jpeg?q=70	Vu cinema TV 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV	₹30,999	Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels40 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product
https://rukminim1.flixcart.com/image/312/312/ku2zjww0/television/r/f/f/50path1010bl-50path1010bl-thomson-original-imag7a8ahdwvbhya.jpeg?q=70	Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV	₹29,999	Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels40 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty on Product and 6 Months on Accessories
https://rukminim1.flixcart.com/image/312/312/xif0q/television/e/2/q/-original-imaggz6pq2yegw7s.jpeg?q=70	TOSHIBA M550LP Series 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Bass Woofer and REGZA E...	₹76,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVUltra HD (4K) 3840 x 2160 Pixels49 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade Ultra Vivid Panel2 Years Comprehensive Warranty
https://rukminim1.flixcart.com/image/312/312/l3929ow0/television/y/f/w/kd-32w830k-in5-sony-original-imagef45ctezbskc.jpeg?q=70	SONY Bravia 80 cm (32 inch) HD Ready LED Smart Google TV	₹27,788	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Google TVHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/l0bbonk0/television/6/x/u/-original-imagc4c9bxnnup4z.jpeg?q=70	Hisense A6GE Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and Dolby At...	₹26,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade2 Years Comprehensive Warranty
https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/television/x/f/k/p32s001-p32s001-candes-original-imagdshfudqwzzfg.jpeg?q=70	Candes 81 cm (32 inch) HD Ready LED Smart Android TV	₹8,490	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 Speaker Output50 Hz Refresh Rate1 x HDMI | 2 x USB1 Year Candes Domestic Warranty
https://rukminim1.flixcart.com/image/312/312/l3nco7k0/television/j/r/m/55-qpm-vu-original-imageq6mnwqavjte.jpeg?q=70	Vu Masterpiece Glo 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV	₹75,999	Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels100 W Speaker Output120 Hz Refresh Rate4 x HDMI | 2 x USB3 Years Warranty
